,Unnamed: 0,clean_post,source
10,10,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiiquevisited'Algeravec notre cher ami Jeffqui nous vient de, une visitePlus découvertede la  Casbahet du tout Alger, Notre Dame et le monument des Martyres.. .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
11,11,"صباح الخيرعليكم يا أحبابي و أحباب البهجة الدزاير و القصبة العالية . نهاركم مبروك و جمعة مباركة إن شاء الله .  . Photo : Monument des Martyres .  . Nos visites sont disponible pendant les jours de semaine aussi,pourPlus réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية", HABIB ADVENTURE 
12,12,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visitede la Casbahavec nos chers amis italiens, une visite découvertedePlus la  Casbah, histoire, rires, rencontres avec nos amiset un magnifique déjeuner khalti fatihaaaaune chorbadélicieuseet une rechtamagnifiquement bonnecomme à son Habittude au Top .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiya, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appeler numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
13,13,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visited'aujourd'hui, à la découvertede la  Casbah, histoire, rires, ambiance,Plus avec nos nouveaux amis..un déjeuner au topchez notre ami  stah_el_bahdja_casbah ..une belle journée .  . Nos visites guidées sont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
14,14,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique Algiers TourCasbah, le Jardin d'Essai et LabGrande Mosquée d'Alger avec nosPlus chers partenaire de Sst Travel, des visites découverted'Alger, histoire, rires, rencontres avec nos amis Américainset Egyptienset surtout avec mon amie et mon frère heuuu..soeur el_mim .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
15,15,"Le mouloud en famille.. . Tamina, chakhchoukha, Rachta, khfaf, m'halbiet MA FAMILLE . SAHA MOULOUDKOUM .  .  Djawla_3assimiya .  kenza", HABIB ADVENTURE 
16,16,"صباح الخيرعليكم يا أحبابي و أحباب البهجة الدزاير و القصبة العالية . نهاركم مبروك و جمعة مباركة إن شاء الله .  . Photo : la cours de la Grand Mosquéed'Alger .  . Nos visites sont disponible pendant les jours de semainePlus aussi,pour réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية", HABIB ADVENTURE 
17,17,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouvelles amies les supergirls  lyon_en_force..un déjeuner au topchez notre ami Badis..une belle journée .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
18,18,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visitede la Casbahavec nos chers amis, une visite découvertede la  CasbahPlus, histoire, rires, rencontres avec nos amiset un magnifique dinerchez khalti fatihaaaaune chorbadélicieuseet une rechtamagnifiquement bonnecomme à son Habittude au Top .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiya, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appeler numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
19,19,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visitesde la Casbahet de tout Alger avec nos chers amis suisses, une visitePlus découvertede d'alger, histoire, rires, rencontres avec nos amiset un dejeunerchez khalti fatihaaaaune rechtamagnifiquement bonnecomme à son Habitude au Top .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
20,20,"Bonsoir mes amis Djawlistes.. . On partage avec vous notre journéeau Salon du tourisme la SITEV . Rencontreavec le Ministre du Tourisme, et avec mes partenaire  visa_travel . Une journée bien chargée. .  . Nos visitesPlus guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
21,21,"صباح الخيرعليكم يا أحبابي و أحباب البهجة الدزاير و القصبة العالية . نهاركم مبروك و جمعة مباركة إن شاء الله .  . Nos visites sont disponible pendant les jours de semaine aussi,pour réservéil suffit d'envoyer lesPlus noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية", HABIB ADVENTURE 
22,22,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visitesde la Casbahavec nos chers clients, des visites découvertede la  PlusCasbah, histoire, rires, rencontres avec nos amis .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
23,23,"Bonsoirmes amis... . Une des anecdotes de Djawla 3assimiya .. .  .  Djawla_3assimiya  Rechta .  Kenza .  . Jow Radio . 28 septembre, 15:37 · .  . "" الرشتة تنسيك في وليدك ""  . حكاية السائحة الروسية مع ""الجولة العاصمية"" .  سركالة", HABIB ADVENTURE 
24,24,"Bonsoir mes amis.. . Mon passage a JOW RADIOun grand merciiii a mes amis  souhila_cherf et  hichem_hichemo c'était un honneur .  .  Djawla_3asssimiya .  Kenza .  . Jow Radio a publié une vidéo dans la playlist Serkala. . 27 septembre, 17:35 · .  . كنزة ، دليل سياحي و صاحبة مشروع ""جولة عاصمية "" : ""يلزم تزوروا القصبة الآن ، لأنو على 20 سنة، القصبة كيما نعرفوها رايحا تزول"". .  سركالة", HABIB ADVENTURE 
25,25,Bonsoir mes très chers amiiiis!! .  . J'espère que vous allez tous bien..je partage avec vous les photosdu passage de Djawla 3assimiya à la Radio JOW dans l'émission SERKALA avec la merveilleuse  Souhila_cherfPlus et du maaaagniifiiique  hhichemou c'était un honneur et un plaisir hawelnahaaaa..je vous attends pour la Casbah et la rechta .  . Un superbe après midi avec de superbes personnesmerci.. .  .  djawla_3assimiya .  kenzA, HABIB ADVENTURE 
26,26,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde nos maaaagnifiiiques visitesde la Casbahavec nos chers clients, des visites découvertede la  PlusCasbah, histoire, rires, rencontres avec nos amiset un dejeunerchez khalti fatihaaaaune rechtamagnifiquement bonnecomme à son Habitude au Top .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
27,27,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis et notre nouvel animal de compagnie TINA..un déjeuner au topchez notre ami Badis..une belle journée .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
28,28,صباح الخيرعليكم يا أحبابي و أحباب البهجة الدزاير و القصبة العالية . نهاركم مبروك و جمعة مباركة إن شاء الله .  . N'oubliez pas notre visite guidée de la Casbahpour demain samedi 24 Septembre inchallah merhba .  . Plus Pour réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
29,29,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde nos belles visites, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis..un déjeuner au topchez notre ami Badis..une belle journée .  . La prochaine visite de la Casbahsera pour le Samedi 24 septembre inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
30,30,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis..un déjeuner au topchez notre ami Badis..une belle journée .  . La prochaine visite de la Casbahsera pour le Samedi 24 septembre inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
31,31,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amies de Bruxelle..une belle journée .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
32,32,صباح الخيرعليكم يا أحبابي و أحباب البهجة الدزاير و القصبة العالية . نهاركم مبروك و جمعة مباركة إن شاء الله .  . N'oubliez pas notre visite guidée de la Casbahpour samedi 24 Septembre inchallah merhba .  . PourPlus réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
33,33,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis de Lituanie et nos invités de Malaisie..une belle journée .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
34,34,"Bonsoir mes très cheramis Djawlistes.. .  . Oyez, Oyez On vous donne rendez vousle samedi 24 Septembreinchallahpour une visite guidéedela Casbah .  . Pour réservéil suffit juste d'appeler le numéro0556 68 92 48 .  . N'attendez pas la dernière minute .  . Merhba bikoum inchallah .  .  kenzA .  djawla_3assimiya .  . SAM., 24 SEPT. . Visite Guidée de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
35,35,"SAM., 24 SEPT. . Visite Guidée de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
36,36,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis etem nos invités de l'Ambassade des USA..une belle journée .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
37,37,صباح الخيرعليكم يا أحبابي و أحباب البهجة الدزاير و القصبة العالية . نهاركم مبروك و جمعة مباركة إن شاء الله .  . Crédit photo :  norazair .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
38,38,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis de New York, Marseille et nos invités de l'Ambassade des USA..une belle journée .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
39,39,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis et surtout joueux anniversaire Bilal dernalou 3erss machi anniveesaire..un déjeuner au topchez notre ami Badis..une belle journée .  . Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
40,40,صباح الخيرعليكم يا أحبابي و أحباب البهجة الدزاير و القصبة العالية . نهاركم مبروك و جمعة مباركة إن شاء الله .  . N'oubliez pas notre visite guidée de la Casbahpour demain samedi 27 AOUT inchallah merhba .  . PourPlus réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
41,41,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis et surtout  el_hadja_zoulikha, 82ans et pas que les genoux en métal, le mental aussi .  . Un déjeuner traditionnelau Top chez khalti fatiha une rechta délicieuse..une belle journée .  . La prochaine visite de la Casbahsera pour le Samedi 27 Aout inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
42,42,"Bonsoir mes très cheramis Djawlistes.. .  . Oyez, Oyez On vous donne rendez vousle samedi 27 Aoutinchallahpour une visite guidéedela Casbah .  . Pour réservéil suffit juste d'appeler le numéro0556 68 92 48 .  . N'attendez pas la dernière minute .  . Merhba bikoum inchallah .  .  kenzA .  djawla_3assimiya .  . SAM., 27 AOÛT . Visite de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
43,43,"SAM., 27 AOÛT . Visite de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
44,44,Une fin de visite avec les meilleurs... .  . Shanghai Gang...Djawla 3assimiya... .  . Une histoire...des Traditions...un Patrimoine unique... .  . Bienvenu à tous.., HABIB ADVENTURE 
45,45,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis et surtout  el_hadja ..un déjeuner au topchez notre ami Badis..une belle journée .  . La prochaine visite de la Casbahsera pour le Samedi 27 Aout inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
46,46,صباح الخيرعليكم يا أحبابيو أحباب البهجة الدزايروالقصبة العالية . نهاركم مبروكو جمعة مباركةإن شاء الله .  . N'oubliez pas notre visite guidée de la Casbahpour demain samedi 20 AOUT inchallah merhba .  . PourPlus réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
47,47,"Bonsoirmes très chers amis  Djawlistes j'espère Que Vous allez .. .  . On partage avec vous les photosde bien maaaagnifiiique visitede la Casbahavec nos nouveaux amis, une mini visite découvertede la  PlusCasbah, a l'occsion de Achouraet un magnifique dinerchez khalti fatihaaaaune rechtamagnifiquement bonnecomme à son Habittude au Toptout cela animé par chikhna et sa guitare... .  . La prochaine visite de la Casbahsera pour le Samedi 20 Aout inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
48,48,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis et surtout le petit Fadi  Hamoud..un déjeuner au topchez notre ami Badis..une belle journée .  . La prochaine visite de la Casbahsera pour le Samedi 20 Aout inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
49,49,"Bonjour mes très cheramis Djawlistes.. .  . Oyez, Oyez On vous donne rendez vousce samedi 20 Aoutinchallahpour une visite guidéedela Casbah .  . Pour réservéil suffit juste d'appeler le numéro0556 68 92 48 .  . N'attendez pas la dernière minute .  . Merhba bikoum inchallah .  .  kenzA .  djawla_3assimiya", HABIB ADVENTURE 
50,50,"Bonsoir mes très chers amis  Djawlistes .  . On partage avec vous les photos  de notre belle visite, à la découverte de la  Casbah, histoire, ambianceet un déjeuner au top  .  . La prochaine visite de la CasbahPlussera pour le Samedi 20 Aout inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
51,51,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis..un déjeuner au topchez notre ami Badis ..une belle journée .  . La prochaine visite de la Casbahsera pour le Samedi 20 Aout inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  . Crédit photo: une personne qui se reconnaitra .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
52,52,صباح الخيرو البركة على أحلى ناس..ناس  جولة_عاصمية . دعاء عاشورة  . «..اللهم في عاشوراء الخير، أسألك أن تجبر قلبي الجَبر الحَسن الذي تطيب به الدنيا، وتحلو معه الآخرة، اللهم اجبرني جبرا يتعجّب منه أهل الأرض والسّماء، كُن لي فليس لي سِواك، وارزقني الذريّة الصّالحة التي يفرح قلبي..» .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
53,53,"Bonjourmes très cheramis Djawlistes.. .  . Oyez, OyezOn vous donne rendez vousce samedi 20 Aoutinchallahpour une visite guidéedela Casbah .  . Pour réservéil suffit juste d'appeler le numéro0556 68 92 48 .  . N'attendez pas la dernière minute .  . Merhba bikoum inchallah .  .  kenzA .  djawla_3assimiya .  . SAM., 20 AOÛT . Visite de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
54,54,"SAM., 20 AOÛT . Visite de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
55,55,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visited'hier Samedi, à la découvertede la  Casbah, histoire, rires, ambiance,Plus avec nos nouveaux amis..un déjeuner au topchez notre ami  stah_el_bahdja_casbah ..une belle journée .  . La prochaine visite de la Casbahsera pour le Samedi 20 Aout inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  . Crédit photo: une personne qui se reconnaitra .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
56,56,صباح الخيرعليكم يا أحبابيو أحباب البهجة الدزايروالقصبة العالية . نهاركم مبروكو جمعة مباركةإن شاء الله .  . N'oubliez pasnotre visite guidée de la Casbahpour demain samedi 6 AOUT inchallah merhba .  . PourPlus réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement. .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
57,57,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre belle visite, à la découvertede la  Casbah, histoire, rires, ambiance, avec nosPlus nouveaux amis..un déjeuner au topchez notre ami Badis miaaammm...une belle journée .  . La prochaine visite de la Casbahsera pour le Samedi 6 Aout inchallah, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
58,58,Bonjourmes très chers amiiiis!! .  . J'espère que vous allez tous bien..je partage avec vous les photosdu passage de Djawla 3assimiya à la RadioCHAINE3 dans l'émission DE A à ZEN avec la merveilleuse Plussorayazentaren compagnie chikhna et notre orchestre chaabihawelnahaaaa.. .  . Un superbe soiréeavec de superbes personnesmerci.. .  .  djawla_3assimiya .  kenzA, HABIB ADVENTURE 
59,59,"Bonsoirmes très cheramis Djawlistes.. .  . Oyez, OyezOn vous donne rendez vousce samedi 6 Aoutinchallahpour une visite guidéedela Casbah .  . Pour réservéil suffit juste d'appeler le numéro0556 68 92 48 .  . N'attendez pas la dernière minute .  . Merhba bikoum inchallah .  .  kenzA .  djawla_3assimiya .  . SAM., 6 AOÛT . Visite Guidée de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
